DataValue,NameEN,NamePT
PERI2020,"Exchange, assistance and training programme for the protection of the euro against counterfeiting (Pericles 2020)","Programa de intercâmbio, de assistência e de formação para a proteção do euro contra a falsificação (Pericles 2020)"
PERICLES,Protection of the euro against counterfeiting (the ‘Pericles IV programme’),Proteção do euro contra a falsificação (programa «Pericles IV»)
PI,Partnership instrument for cooperation with third countries (PI),Instrumento de Parceria para a cooperação com países terceiros (IP)
PSCI,European Union programme for employment and social innovation (EaSI),Programa da União Europeia para o Emprego e a Inovação Social («EaSI»)
PSLF_JTM2021,Public sector loan facility under the Just Transition Mechanism (JTM),Mecanismo de empréstimo do setor público ao abrigo do Mecanismo para uma Transição Justa (MTJ)
REGCONV,Regional convergence (less developed regions),Convergência regional (regiões menos desenvolvidas)
RESCEU,Union Civil Protection Mechanism (rescEU),Mecanismo de Proteção Civil da União (rescEU)
RFMOs,Compulsory contributions to regional fisheries management organisations (RFMOs) and to other international organisations,Contribuições obrigatórias para organizações regionais de gestão das pescas (RFMOs) e outras organizações internacionais
RIGHTS_2021,Rights and Values Programme,Programa Direitos e Valores
RRF,European Recovery and Resilience Facility (incl. Technical Support Instrument),Programa de Apoio às Reformas (incluindo o instrumento de execução das reformas e o mecanismo de convergência)
SEAR_2021,Solidarity and Emergency Aid Reserve (SEAR),Reserva para a Solidariedade e as Ajudas de Emergência (RSAE)
SFAs,Sustainable Fisheries Partnership Agreements (SFPAs),Acordos de Parceria de Pesca Sustentável (SFPAs)
SINGLEMKT,"Single Market Programme, including COSME, ISA2, ESP, consumer involvement in fin. Services, financial reporting, Health, Food and Feed, consumer programme","Programa a favor do Mercado Único, incluindo o COSME, ISA2, PEE, o envolvimento dos consumidores nos serviços financeiros, o relato financeiro, Saúde, Géneros Alimentícios e Alimentos para Animais, e o programa «Consumidores»"
SIS2020,Schengen Information System (SIS),Sistema de Informação Schengen (SIS)
SPACE,European Space Programme,Programa Espacial da União Europeia
TA_IA,Technical assistance and innovative actions,Assistência técnica e ações inovadoras
TCC,Instrument of financial support for encouraging the economic development of the Turkish Cypriot community (TCC),Instrumento de apoio financeiro para a promoção do desenvolvimento económico da comunidade cipriota turca
TCC_2021,Support to the Turkish Cypriot Community,Apoio à comunidade cipriota turca
TERRCOOP,European territorial cooperation,Cooperação territorial europeia
TRANSREG,Transition regions,Regiões em transição
VIS2020,Visa Information System (VIS),Sistema de Informação sobre Vistos (VIS)
YEI,Youth employment initiative (specific top-up allocation),Iniciativa para o Emprego dos Jovens (dotação equivalente específica)
